ma_bds,dien_tich_su_dung_m2,gia(ty),title,phap_ly,ngay_dang,phuong_xa,quan_huyen,thanh_pho,nha_tam,phong_ngu,dien_tich_dat_m2,chieu_dai_m,chieu_rong_m,loai_hinh
22701261,240.0,12.0,Bán Nhà đường nội bộ Mỹ Đình,Sổ đỏ,2025-10-24,Mỹ Đình - Phường Mỹ Đình 2,Nam Từ Liêm,Hà Nội,10,10,40.0,10.0,4.0,nha
22704144,30.0,14.1,"Bán Nhà hẻm, ngõ Trung Kính",Sổ đỏ,2025-10-24,Trung Kính - Phường Trung Hòa,Cầu Giấy,Hà Nội,6,6,30.0,10.0,3.0,nha
22122706,40.0,4.35,"Bán Nhà hẻm, ngõ Thạch Bàn",Sổ đỏ,2025-10-24,Thạch Bàn - Phường Thạch Bàn,Long Biên,Hà Nội,3,4,40.0,14.0,3.5,nha
22705980,97.0,6.0,"Bán Nhà mặt tiền, phố Bát Khối",Sổ đỏ,2025-10-24,Bát Khối,None,Hà Nội,1,2,97.0,20.2,4.8,nha
22698850,70.0,12.9,"Bán Nhà mặt tiền, phố Phương Liệt",Sổ đỏ,2025-10-24,Phương Liệt - Phường Phương Liệt,Thanh Xuân,Hà Nội,5,5,70.0,17.0,4.0,nha
22415234,204.0,8.5,"Bán Nhà mặt tiền, phố Mỹ Đình",Sổ đỏ,2025-10-24,Mỹ Đình - Phường Mỹ Đình 2,Nam Từ Liêm,Hà Nội,5,4,51.0,11.1,4.6,nha
22703782,135.0,28.5,Bán Đất thổ cư Trần Cung,Sổ đỏ,2025-10-24,Trần Cung - Phường Cổ Nhuế 1,Bắc Từ Liêm,Hà Nội,6,6,135.0,23.0,6.0,dat
22125179,34.0,2.1,Bán Đất thổ cư Thạch Bàn,Sổ đỏ,2025-10-24,Thạch Bàn - Phường Thạch Bàn,Long Biên,Hà Nội,5,5,34.0,8.0,3.4,dat
22706120,120.0,11.0,"Bán Nhà hẻm, ngõ Giáp Hải",Sổ đỏ,2025-10-24,Giáp Hải,None,Hà Nội,1,2,120.0,20.0,6.0,nha
22697630,40.0,5.1,"Bán Nhà mặt tiền, phố Phan Trọng Tuệ",Sổ đỏ,2025-10-24,Phan Trọng Tuệ,None,Hà Nội,3,3,40.0,10.0,4.0,nha
22415232,270.0,19.8,"Bán Nhà mặt tiền, phố Khúc Thừa Dụ",Sổ đỏ,2025-10-24,Khúc Thừa Dụ - Phường Dịch Vọng,Cầu Giấy,Hà Nội,5,3,45.0,9.0,5.0,nha
22693761,95.0,22.999,"Bán Nhà hẻm, ngõ Mễ Trì",Sổ đỏ,2025-10-24,Mễ Trì - Phường Mễ Trì,Nam Từ Liêm,Hà Nội,27,27,95.0,16.0,6.0,nha
22377860,38.0,2.8,Bán Đất thổ cư Thạch Bàn,Sổ đỏ,2025-10-24,Thạch Bàn - Phường Thạch Bàn,Long Biên,Hà Nội,5,5,38.0,11.5,3.5,dat
22706328,180.0,6.0,"Bán Nhà hẻm, ngõ Ngõ Độc Lập",Sổ đỏ,2025-10-24,Ngõ Độc Lập - Phường Cự Khối,Long Biên,Hà Nội,3,3,60.0,15.0,4.0,nha
22698393,52.0,13.8,"Bán Nhà mặt tiền, phố Lê Trọng Tấn",Sổ đỏ,2025-10-24,Lê Trọng Tấn - Phường Khương Mai,Thanh Xuân,Hà Nội,4,6,50.0,13.0,4.0,nha
22415218,354.0,6.2,"Bán Nhà mặt tiền, phố Vũ Tông Phan",Sổ đỏ,2025-10-24,Vũ Tông Phan - Phường Khương Đình,Thanh Xuân,Hà Nội,5,4,59.0,14.0,4.2,nha
22691576,80.0,5.75,Bán Chung cư Linh Đàm,Sổ đỏ,2025-10-24,Linh Đàm - Phường Đại Kim,Hoàng Mai,Hà Nội,2,2,,,,chung_cu
22699898,120.0,72.0,"Bán Nhà mặt tiền, phố Bát Đàn",Sổ đỏ,2025-10-24,Bát Đàn - Phường Cửa Đông,Hoàn Kiếm,Hà Nội,3,4,100.0,20.0,5.0,nha
22705342,211.0,7.5,"Bán Nhà hẻm, ngõ DT179",Sổ đỏ,2025-10-24,DT179,None,Hà Nội,3,4,70.0,17.0,4.5,nha
22658330,53.0,3.85,Bán Chung cư Hoàng Đạo Thúy,Sổ đỏ,2025-10-24,Hoàng Đạo Thúy - Phường Nhân Chính,Thanh Xuân,Hà Nội,1,2,,,,chung_cu
22688025,29.0,6.5,"Bán Nhà mặt tiền, phố Đại Từ",Sổ đỏ,2025-10-24,Đại Từ - Phường Đại Kim,Hoàng Mai,Hà Nội,3,3,30.0,10.0,4.0,nha
22701518,76.0,36.5,"Bán Nhà mặt tiền, phố Đội Cấn",Sổ đỏ,2025-10-24,Đội Cấn - Phường Liễu Giai,Ba Đình,Hà Nội,10,8,76.0,10.0,7.0,nha
22705583,56.0,4.7,"Bán Nhà hẻm, ngõ Khoan Tế",Sổ đỏ,2025-10-24,Khoan Tế,None,Hà Nội,1,2,56.5,14.0,4.0,nha
22706478,400.0,35.0,"Bán Biệt thự, liền kề Nguyễn Cơ Thạch",Sổ đỏ,2025-10-24,Nguyễn Cơ Thạch - Phường Cầu Diễn,Nam Từ Liêm,Hà Nội,4,4,105.0,17.0,7.0,mat_bang
22688532,50.0,10.2,"Bán Nhà hẻm, ngõ Giải Phóng",Sổ đỏ,2025-10-24,Giải Phóng - Phường Hoàng Liệt,Hoàng Mai,Hà Nội,4,6,50.0,12.0,4.0,nha
22650079,330.0,13.0,"Bán Nhà mặt tiền, phố Yên Hòa",Sổ đỏ,2025-10-24,Yên Hòa - Phường Yên Hòa,Cầu Giấy,Hà Nội,9,9,55.0,11.0,5.0,nha
22701459,74.0,26.8,"Bán Nhà mặt tiền, phố Mễ Trì Thượng",Sổ đỏ,2025-10-24,Mễ Trì Thượng - Phường Mễ Trì,Nam Từ Liêm,Hà Nội,7,4,70.0,14.0,5.0,nha
22705587,40.0,3.98,Bán Đất thổ cư Đa Tốn,Sổ đỏ,2025-10-24,Đa Tốn,None,Hà Nội,4,4,40.0,7.0,5.6,dat
22686925,30.0,5.8,"Bán Nhà mặt tiền, phố Tựu Liệt",Sổ đỏ,2025-10-24,Tựu Liệt,None,Hà Nội,3,3,30.0,9.0,3.5,nha
22650058,225.0,8.0,"Bán Nhà mặt tiền, phố Đình Thôn",Sổ đỏ,2025-10-24,Đình Thôn - Phường Mỹ Đình 1,Nam Từ Liêm,Hà Nội,9,9,45.0,11.0,4.0,nha
22702645,54.0,11.299,"Bán Nhà hẻm, ngõ Kim Mã",Sổ đỏ,2025-10-24,Kim Mã - Phường Kim Mã,Ba Đình,Hà Nội,5,5,54.0,11.0,5.0,nha
22703592,391.0,19.3,"Bán Nhà hẻm, ngõ Đàm Quang Trung",Sổ đỏ,2025-10-24,Đàm Quang Trung - Phường Long Biên,Long Biên,Hà Nội,8,5,44.8,11.2,4.1,nha
22675408,38.0,8.1,"Bán Nhà mặt tiền, phố Vũ Tông Phan",Sổ đỏ,2025-10-24,Vũ Tông Phan - Phường Khương Đình,Thanh Xuân,Hà Nội,4,4,40.0,9.0,4.0,nha
22646411,420.0,23.0,"Bán Nhà mặt tiền, phố Đông Quan",Sổ đỏ,2025-10-24,Đông Quan - Phường Nghĩa Đô,Cầu Giấy,Hà Nội,6,6,60.0,12.0,5.0,nha
22702824,99.0,37.0,Bán Đất thổ cư Hoàng Quốc Việt,Sổ đỏ,2025-10-24,Hoàng Quốc Việt - Phường Nghĩa Đô,Cầu Giấy,Hà Nội,6,6,99.0,14.0,7.0,dat
