ma_bds,dien_tich_su_dung_m2,gia(ty),phap_ly,ngay_dang,phuong_xa,quan_huyen,thanh_pho,nha_tam,phong_ngu,dien_tich_dat_m2,gia_per_m2
22712100,100.0,5.8,Sổ đỏ,2025-10-15,Đại La - Phường Đồng Nhân,Hai Bà Trưng,Hà Nội,1,2,,58.0
22712094,80.0,4.35,Sổ đỏ,2025-10-15,Thanh Nhàn - Phường Thanh Nhàn,Hai Bà Trưng,Hà Nội,2,2,,54.375
22711721,90.0,4.58,Sổ đỏ,2025-10-15,Nhân Hòa - Phường Nhân Chính,Thanh Xuân,Hà Nội,2,3,,50.888888888888886
22711722,120.0,4.7,Sổ đỏ,2025-10-15,Thanh Nhàn - Phường Thanh Nhàn,Hai Bà Trưng,Hà Nội,2,3,,39.166666666666664
22711723,100.0,5.4,Sổ đỏ,2025-10-15,Yên Lạc - Phường Vĩnh Tuy,Hai Bà Trưng,Hà Nội,2,3,,54.0
22711725,90.0,3.68,Sổ đỏ,2025-10-15,Nguyễn Trãi - Phường Thượng Đình,Thanh Xuân,Hà Nội,2,3,,40.888888888888886
22711720,150.0,4.48,Sổ đỏ,2025-10-15,Phố Nguyễn Ngọc Doãn - Phường Trung Tự,Đống Đa,Hà Nội,2,4,,29.866666666666667
22711719,80.0,4.6,Sổ đỏ,2025-10-15,Phố Kim Ngưu - Phường Thanh Nhàn,Hai Bà Trưng,Hà Nội,1,3,,57.5
22711718,70.0,4.08,Sổ đỏ,2025-10-15,Doãn Kế Thiện - Phường Mai Dịch,Cầu Giấy,Hà Nội,1,2,,58.285714285714285
22711692,70.0,3.5,Sổ đỏ,2025-10-15,Quỳnh Mai - Phường Bạch Mai,Hai Bà Trưng,Hà Nội,1,3,,50.0
22711690,50.0,2.79,Sổ đỏ,2025-10-15,Lê Gia Định - Phường Bùi Thị Xuân,Hai Bà Trưng,Hà Nội,1,2,,55.8
22711689,70.0,3.9,Sổ đỏ,2025-10-15,Nguyễn Công Trứ - Phường Phạm Đình Hổ,Hai Bà Trưng,Hà Nội,1,2,,55.714285714285715
22711688,80.0,2.99,Sổ đỏ,2025-10-15,Bùi Ngọc Dương - Phường Bạch Mai,Hai Bà Trưng,Hà Nội,1,2,,37.375
22711684,80.0,3.93,Sổ đỏ,2025-10-15,Phan Văn Trường - Phường Dịch Vọng Hậu,Cầu Giấy,Hà Nội,2,2,,49.125
22711687,80.0,4.19,Sổ đỏ,2025-10-15,Hoàng Quốc Việt - Phường Nghĩa Tân,Cầu Giấy,Hà Nội,1,2,,52.375
22710980,60.0,3.88,Sổ đỏ,2025-10-15,Phương Mai - Phường Phương Mai,Đống Đa,Hà Nội,2,2,,64.66666666666667
22710979,60.0,4.28,Sổ đỏ,2025-10-15,Pháo Đài Láng - Phường Láng Thượng,Đống Đa,Hà Nội,1,2,,71.33333333333333
22710975,100.0,6.4,Không xác định,2025-10-15,Hoàng Ngọc Phách - Phường Láng Hạ,Đống Đa,Hà Nội,2,3,,64.0
22710972,65.0,6.5,Sổ đỏ,2025-10-15,Phạm Ngọc Thạch - Phường Kim Liên,Đống Đa,Hà Nội,2,2,,100.0
22710969,60.0,3.75,Sổ đỏ,2025-10-15,Phạm Ngọc Thạch - Phường Kim Liên,Đống Đa,Hà Nội,1,2,,62.5
22710968,65.0,4.59,Sổ đỏ,2025-10-15,Ngõ Thịnh Hào 1 - Phường Hàng Bột,Đống Đa,Hà Nội,1,2,,70.61538461538461
22710961,60.0,4.99,Sổ đỏ,2025-10-15,Hàng Bông - Phường Hàng Bông,Hoàn Kiếm,Hà Nội,2,2,,83.16666666666667
22710950,55.0,6.5,Sổ đỏ,2025-10-15,Vĩnh Phúc - Phường Vĩnh Phúc,Ba Đình,Hà Nội,1,2,,118.18181818181819
22710943,60.0,4.45,Sổ đỏ,2025-10-15,Nguyễn Khắc Nhu - Phường Trúc Bạch,Ba Đình,Hà Nội,1,2,,74.16666666666667
22710910,55.0,4.8,Sổ đỏ,2025-10-15,Thành Công - Phường Thành Công,Ba Đình,Hà Nội,1,2,,87.27272727272727
22710908,90.0,6.6,Sổ đỏ,2025-10-15,Thành Công - Phường Thành Công,Ba Đình,Hà Nội,1,2,,73.33333333333333
22710904,65.0,6.9,Sổ đỏ,2025-10-15,Đặng Dung - Phường Trúc Bạch,Ba Đình,Hà Nội,1,2,,106.15384615384616
22710900,70.0,5.4,Sổ đỏ,2025-10-15,Hoè Nhai - Phường Nguyễn Trung Trực,Ba Đình,Hà Nội,2,2,,77.14285714285714
22710897,50.0,2.25,Sổ đỏ,2025-10-15,Ngọc Hà - Phường Ngọc Hà,Ba Đình,Hà Nội,1,2,,45.0
22712106,47.0,11.3,Sổ đỏ,2025-10-15,Bế Văn Đàn - Phường Quang Trung,Hà Đông,Hà Nội,4,6,47.0,240.4255319148936
22710889,95.0,5.99,Sổ đỏ,2025-10-15,Kim Mã Thượng - Phường Cống Vị,Ba Đình,Hà Nội,2,3,,63.05263157894737
22712105,59.0,14.3,Sổ đỏ,2025-10-15,Ngô Thì Nhậm - Phường Quang Trung,Hà Đông,Hà Nội,5,6,59.0,242.3728813559322
22710887,55.0,4.99,Sổ đỏ,2025-10-15,Đào Tấn - Phường Ngọc Khánh,Ba Đình,Hà Nội,1,2,,90.72727272727273
22712103,54.0,13.5,Sổ đỏ,2025-10-15,Ngô Quyền - Phường Vạn Phúc,Hà Đông,Hà Nội,4,7,54.0,250.0
22710885,120.0,4.99,Sổ đỏ,2025-10-15,Phố Đào Tấn - Phường Ngọc Khánh,Ba Đình,Hà Nội,2,4,,41.583333333333336
22712102,52.0,13.7,Sổ đỏ,2025-10-15,Vạn Phúc - Phường Vạn Phúc,Hà Đông,Hà Nội,3,4,52.0,263.46153846153845
22710882,65.0,5.95,Sổ đỏ,2025-10-15,Linh Lang - Phường Cống Vị,Ba Đình,Hà Nội,1,2,,91.53846153846153
22712101,42.0,12.1,Sổ đỏ,2025-10-15,Lý Thường Kiệt - Phường La Khê,Hà Đông,Hà Nội,3,3,43.0,288.0952380952381
22706780,75.0,5.8,Sổ đỏ,2025-10-15,Võ Thị Sáu - Phường Thanh Nhàn,Hai Bà Trưng,Hà Nội,1,2,,77.33333333333333
22707230,120.0,4.149,Sổ đỏ,2025-10-15,Trần Quốc Hoàn - Phường Dịch Vọng Hậu,Cầu Giấy,Hà Nội,2,3,,34.575
22707231,40.0,3.89,Sổ đỏ,2025-10-15,Trần Phú - Phường Điện Biên,Ba Đình,Hà Nội,1,2,,97.25
22707233,70.0,3.229,Sổ đỏ,2025-10-15,Ngõ Xã Đàn - Phường Quốc Tử Giám,Đống Đa,Hà Nội,2,3,,46.128571428571426
22707234,50.0,2.85,Sổ đỏ,2025-10-15,Thọ Lão - Phường Đồng Nhân,Hai Bà Trưng,Hà Nội,1,2,,57.0
21721450,600.0,30.0,Sổ đỏ,2025-10-15,Nguyễn Văn Huyên - Phường Nghĩa Đô,Cầu Giấy,Hà Nội,6,6,115.0,50.0
22707236,50.0,2.73,Sổ đỏ,2025-10-15,Nguyễn Trãi - Phường Thanh Xuân Nam,Thanh Xuân,Hà Nội,1,2,,54.6
22708774,80.0,4.49,Sổ đỏ,2025-10-15,Nghĩa Tân - Phường Nghĩa Tân,Cầu Giấy,Hà Nội,1,3,,56.125
21719828,420.0,29.0,Sổ đỏ,2025-10-15,Xuân La - Phường Xuân La,Tây Hồ,Hà Nội,5,5,70.0,69.04761904761905
22708775,80.0,3.89,Sổ đỏ,2025-10-15,Nghĩa Tân - Phường Nghĩa Tân,Cầu Giấy,Hà Nội,2,3,,48.625
21814181,290.0,13.0,Sổ đỏ,2025-10-15,Trần Quý Kiên - Phường Dịch Vọng,Cầu Giấy,Hà Nội,6,5,62.0,44.827586206896555
22708779,70.0,5.58,Sổ đỏ,2025-10-15,Kim Mã - Phường Kim Mã,Ba Đình,Hà Nội,1,2,,79.71428571428571
22245767,840.0,45.0,Sổ đỏ,2025-10-15,Vệ Hồ - Phường Xuân La,Tây Hồ,Hà Nội,8,8,120.0,53.57142857142857
22708777,22.0,5.75,Sổ đỏ,2025-10-15,Hàng Đậu - Phường Đồng Xuân,Hoàn Kiếm,Hà Nội,4,4,22.0,261.3636363636364
22522749,900.0,64.0,Sổ đỏ,2025-10-15,Trần Cung - Phường Cổ Nhuế 1,Bắc Từ Liêm,Hà Nội,5,5,300.0,71.11111111111111
22708780,80.0,4.75,Sổ đỏ,2025-10-15,Ngọc Khánh - Phường Ngọc Khánh,Ba Đình,Hà Nội,1,3,,59.375
22517713,249.0,9.0,Sổ đỏ,2025-10-15,Ngọc Hà - Phường Ngọc Hà,Ba Đình,Hà Nội,4,4,50.0,36.144578313253014
22708783,90.0,5.299,Sổ đỏ,2025-10-15,Cát Linh - Phường Cát Linh,Đống Đa,Hà Nội,2,3,,58.87777777777778
22520883,900.0,64.0,Sổ đỏ,2025-10-15,Xuân La - Phường Xuân La,Tây Hồ,Hà Nội,4,4,300.0,71.11111111111111
22708786,120.0,4.35,Sổ đỏ,2025-10-15,Thành Công - Phường Thành Công,Ba Đình,Hà Nội,2,3,,36.25
22517731,439.0,25.0,Sổ đỏ,2025-10-15,Xuân Diệu - Phường Quảng An,Tây Hồ,Hà Nội,4,4,110.0,56.94760820045558
22708833,75.0,5.5,Sổ đỏ,2025-10-15,Vĩnh Phúc - Phường Vĩnh Phúc,Ba Đình,Hà Nội,1,2,,73.33333333333333
22548126,300.0,65.0,Sổ đỏ,2025-10-15,Nguyễn Văn Huyên - Phường Quan Hoa,Cầu Giấy,Hà Nội,,,300.0,216.66666666666666
22708789,80.0,3.89,Sổ đỏ,2025-10-15,Trần Quốc Hoàn - Phường Dịch Vọng Hậu,Cầu Giấy,Hà Nội,2,3,,48.625
22557757,320.0,25.999,Sổ đỏ,2025-10-15,Nguyễn Văn Ngọc - Phường Cống Vị,Ba Đình,Hà Nội,4,4,86.0,81.246875
22708834,50.0,7.949,Sổ đỏ,2025-10-15,Phạm Ngọc Thạch - Phường Kim Liên,Đống Đa,Hà Nội,,,,158.98
22556813,249.0,13.999,Sổ đỏ,2025-10-15,Phạm Huy Thông - Phường Ngọc Khánh,Ba Đình,Hà Nội,4,4,52.0,56.22088353413655
22708847,50.0,3.39,Sổ đỏ,2025-10-15,Lương Định Của - Phường Kim Liên,Đống Đa,Hà Nội,1,2,,67.8
22576260,250.0,13.0,Sổ đỏ,2025-10-15,Linh Lang - Phường Cống Vị,Ba Đình,Hà Nội,4,4,61.0,52.0
22708849,30.0,2.29,Sổ đỏ,2025-10-15,Vĩnh Hồ - Phường Thịnh Quang,Đống Đa,Hà Nội,1,2,,76.33333333333333
22578376,121.0,23.0,Sổ đỏ,2025-10-15,Xuân Đỉnh - Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,,,121.0,190.08264462809916
22709136,70.0,4.13,Sổ đỏ,2025-10-15,Phạm Ngọc Thạch - Phường Trung Tự,Đống Đa,Hà Nội,1,2,,59.0
22558596,300.0,9.0,Sổ đỏ,2025-10-15,Nguyễn Đình Thi - Phường Thụy Khuê,Tây Hồ,Hà Nội,6,5,45.0,30.0
22710284,90.0,4.7,Sổ đỏ,2025-10-15,Thành Công - Phường Thành Công,Ba Đình,Hà Nội,2,3,,52.22222222222222
22578377,314.0,23.5,Sổ đỏ,2025-10-15,Văn Cao - Phường Liễu Giai,Ba Đình,Hà Nội,,,105.0,74.8407643312102
22710282,100.0,5.75,Sổ đỏ,2025-10-15,Thành Công - Phường Thành Công,Ba Đình,Hà Nội,2,5,,57.5
22579618,300.0,10.0,Sổ đỏ,2025-10-15,Đỗ Nhuận - Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,4,4,60.0,33.333333333333336
22703381,50.0,3.39,Sổ đỏ,2025-10-15,Kim Mã - Phường Kim Mã,Ba Đình,Hà Nội,1,2,,67.8
22580612,250.0,12.0,Sổ đỏ,2025-10-15,Ngõ Trịnh Công Sơn - Phường Nhật Tân,Tây Hồ,Hà Nội,4,4,55.0,48.0
22703409,120.0,4.45,Sổ đỏ,2025-10-15,Thái Thịnh - Phường Trung Liệt,Đống Đa,Hà Nội,1,4,,37.083333333333336
22703388,332.0,15.6,Sổ đỏ,2025-10-15,Nguyễn Quý Đức - Phường Thanh Xuân Bắc,Thanh Xuân,Hà Nội,5,5,82.0,46.98795180722892
22703414,140.0,7.2,Sổ đỏ,2025-10-15,Hàng Chiếu - Phường Đồng Xuân,Hoàn Kiếm,Hà Nội,1,2,,51.42857142857143
22703397,400.0,15.8,Sổ đỏ,2025-10-15,Lương Thế Vinh - Phường Thanh Xuân Bắc,Thanh Xuân,Hà Nội,6,6,80.0,39.5
22703425,60.0,4.7,Sổ đỏ,2025-10-15,Hàng Vôi - Phường Lý Thái Tổ,Hoàn Kiếm,Hà Nội,1,2,,78.33333333333333
22703734,340.0,16.5,Sổ đỏ,2025-10-15,Lê Văn Thiêm - Phường Thanh Xuân Trung,Thanh Xuân,Hà Nội,6,6,65.0,48.529411764705884
22703428,80.0,6.8,Sổ đỏ,2025-10-15,Phủ Doãn - Phường Hàng Trống,Hoàn Kiếm,Hà Nội,2,2,,85.0
22703735,365.0,17.1,Sổ đỏ,2025-10-15,Hoàng Ngân - Phường Nhân Chính,Thanh Xuân,Hà Nội,5,5,75.0,46.84931506849315
22703642,55.0,3.05,Sổ đỏ,2025-10-15,Nguyễn Quý Đức - Phường Thanh Xuân Bắc,Thanh Xuân,Hà Nội,1,2,,55.45454545454545
21413260,70.0,15.0,Không xác định,2025-10-15,Trích Sài - Phường Thụy Khuê,Tây Hồ,Hà Nội,3,3,70.0,214.28571428571428
22703650,60.0,4.45,Sổ đỏ,2025-10-15,Cảm Hội - Phường Đống Mác,Hai Bà Trưng,Hà Nội,1,2,,74.16666666666667
21371598,164.0,7.2,Sổ đỏ,2025-10-15,Xuân La - Phường Xuân La,Tây Hồ,Hà Nội,3,3,41.0,43.90243902439025
22703656,65.0,4.65,Sổ đỏ,2025-10-15,Trần Quý Kiên - Phường Dịch Vọng,Cầu Giấy,Hà Nội,1,2,,71.53846153846153
21464933,250.0,11.5,Sổ đỏ,2025-10-15,Nguyễn Khánh Toàn - Phường Quan Hoa,Cầu Giấy,Hà Nội,4,5,50.0,46.0
22703675,75.0,3.929,Sổ đỏ,2025-10-15,Phan Kế Bính - Phường Cống Vị,Ba Đình,Hà Nội,2,2,,52.38666666666666
21471669,255.0,12.5,Sổ đỏ,2025-10-15,Văn Cao - Phường Liễu Giai,Ba Đình,Hà Nội,5,6,85.0,49.01960784313726
22703725,75.0,4.949,Sổ đỏ,2025-10-15,Trung Kính - Phường Yên Hòa,Cầu Giấy,Hà Nội,1,2,,65.98666666666666
21470986,250.0,8.0,Không xác định,2025-10-15,Nhật Chiêu - Phường Phú Thượng,Tây Hồ,Hà Nội,4,6,45.0,32.0
22703751,75.0,4.99,Sổ đỏ,2025-10-15,Định Công - Phường Định Công,Hoàng Mai,Hà Nội,2,3,,66.53333333333333
21491108,600.0,24.0,Sổ đỏ,2025-10-15,Văn Cao - Phường Liễu Giai,Ba Đình,Hà Nội,6,8,120.0,40.0
22703752,50.0,3.1,Sổ đỏ,2025-10-15,Bùi Ngọc Dương - Phường Bạch Mai,Hai Bà Trưng,Hà Nội,1,2,,62.0
21511910,450.0,21.0,Sổ đỏ,2025-10-15,Trung Hòa - Phường Trung Hòa,Cầu Giấy,Hà Nội,5,5,100.0,46.666666666666664
22703757,80.0,5.7,Sổ đỏ,2025-10-15,Nguyễn Huy Tưởng - Phường Thanh Xuân Trung,Thanh Xuân,Hà Nội,2,2,,71.25
21511951,300.0,13.0,Sổ đỏ,2025-10-15,Vĩnh Phúc - Phường Vĩnh Phúc,Ba Đình,Hà Nội,5,5,50.0,43.333333333333336
22703756,70.0,3.93,Sổ đỏ,2025-10-15,Hoàng Quốc Việt - Phường Nghĩa Tân,Cầu Giấy,Hà Nội,1,2,,56.142857142857146
21531069,600.0,18.0,Sổ đỏ,2025-10-15,Phạm Văn Đồng - Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,5,6,120.0,30.0
22705538,70.0,4.55,Sổ đỏ,2025-10-15,Phan Kế Bính - Phường Cống Vị,Ba Đình,Hà Nội,1,2,,65.0
21476209,225.0,9.0,Sổ đỏ,2025-10-15,Đào Tấn - Phường Cống Vị,Ba Đình,Hà Nội,4,4,42.0,40.0
22705619,60.0,5.5,Sổ đỏ,2025-10-15,Thành Công - Phường Thành Công,Ba Đình,Hà Nội,1,2,,91.66666666666667
21531077,300.0,10.5,Sổ đỏ,2025-10-15,Phạm Văn Đồng - Phường Đông Ngạc,Bắc Từ Liêm,Hà Nội,6,5,60.0,35.0
22705642,110.0,5.19,Sổ đỏ,2025-10-15,Thành Công - Phường Thành Công,Ba Đình,Hà Nội,2,3,,47.18181818181818
21544554,500.0,24.0,Sổ đỏ,2025-10-15,Nguyễn Khánh Toàn - Phường Quan Hoa,Cầu Giấy,Hà Nội,6,6,120.0,48.0
22705644,50.0,3.55,Sổ đỏ,2025-10-15,Nam Đồng - Phường Nam Đồng,Đống Đa,Hà Nội,1,2,,71.0
21531082,225.0,8.3,Sổ đỏ,2025-10-15,Phạm Văn Đồng - Phường Cổ Nhuế 2,Bắc Từ Liêm,Hà Nội,4,4,45.0,36.888888888888886
22705645,150.0,4.399,Sổ đỏ,2025-10-15,Phố Đào Tấn - Phường Ngọc Khánh,Ba Đình,Hà Nội,2,3,,29.326666666666668
21565225,320.0,26.0,Sổ đỏ,2025-10-15,Linh Lang - Phường Cống Vị,Ba Đình,Hà Nội,4,6,80.0,81.25
22706205,45.0,2.58,Sổ đỏ,2025-10-15,Nguyễn Trãi - Phường Thanh Xuân Nam,Thanh Xuân,Hà Nội,1,2,,57.333333333333336
21712340,300.0,24.8,Sổ đỏ,2025-10-15,Vạn Bảo - Phường Liễu Giai,Ba Đình,Hà Nội,4,4,100.0,82.66666666666667
22703334,70.0,4.5,Sổ đỏ,2025-10-15,Trần Huy Liệu - Phường Giảng Võ,Ba Đình,Hà Nội,1,2,,64.28571428571429
21747637,600.0,42.0,Sổ đỏ,2025-10-15,Tô Hiệu - Phường Nghĩa Tân,Cầu Giấy,Hà Nội,5,6,120.0,70.0
22703348,70.0,4.09,Sổ đỏ,2025-10-15,Phan Kế Bính - Phường Cống Vị,Ba Đình,Hà Nội,1,2,,58.42857142857143
21784677,275.0,11.5,Sổ đỏ,2025-10-15,Lạc Long Quân - Phường Xuân La,Tây Hồ,Hà Nội,5,4,60.0,41.81818181818182
22703349,90.0,3.98,Sổ đỏ,2025-10-15,Phố Đào Tấn - Phường Cống Vị,Ba Đình,Hà Nội,2,4,,44.22222222222222
21747442,520.0,28.999,Sổ đỏ,2025-10-15,Xuân Đỉnh - Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,5,5,130.0,55.76730769230769
22703356,80.0,4.05,Sổ đỏ,2025-10-15,Vạn Bảo - Phường Liễu Giai,Ba Đình,Hà Nội,1,2,,50.625
21720927,200.0,10.7,Sổ đỏ,2025-10-15,Giang Văn Minh - Phường Đội Cấn,Ba Đình,Hà Nội,4,4,50.0,53.5
22703376,130.0,5.85,Sổ đỏ,2025-10-15,Nguyễn Công Hoan - Phường Ngọc Khánh,Ba Đình,Hà Nội,2,3,,45.0
21784719,275.0,9.8,Sổ đỏ,2025-10-15,Đỗ Nhuận - Phường Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,5,4,55.0,35.63636363636363
22703403,130.0,5.7,Sổ đỏ,2025-10-15,Vĩnh Phúc - Phường Vĩnh Phúc,Ba Đình,Hà Nội,2,3,,43.84615384615385
20954464,50.0,12.5,Sổ đỏ,2025-10-15,Vạn Phúc - Phường Kim Mã,Ba Đình,Hà Nội,5,4,50.0,250.0
22711739,80.0,8.8,Sổ đỏ,2025-10-15,Lê Thánh Tông - Phường Phan Chu Trinh,Hoàn Kiếm,Hà Nội,1,2,,110.0
20650199,323.0,21.0,Sổ đỏ,2025-10-15,Nguyễn Tuân - Phường Nhân Chính,Thanh Xuân,Hà Nội,5,4,85.0,65.015479876161
22703405,80.0,4.879,Sổ đỏ,2025-10-15,Vĩnh Phúc - Phường Vĩnh Phúc,Ba Đình,Hà Nội,1,2,,60.9875
21222147,79.0,11.0,Sổ đỏ,2025-10-15,Nguyễn Hoàng Tôn - Phường Xuân La,Tây Hồ,Hà Nội,,,79.0,139.2405063291139
22703407,65.0,4.38,Sổ đỏ,2025-10-15,Vĩnh Phúc - Phường Vĩnh Phúc,Ba Đình,Hà Nội,1,2,,67.38461538461539
22711753,200.0,9.1,Sổ hồng,2025-10-15,Thượng Thanh - Phường Thượng Thanh,Long Biên,Hà Nội,4,4,40.0,45.5
21015855,50.0,9.8,Sổ đỏ,2025-10-15,Văn Cao - Phường Liễu Giai,Ba Đình,Hà Nội,,,50.0,196.0
22703411,75.0,5.6,Sổ đỏ,2025-10-15,Đường Bưởi - Phường Vĩnh Phúc,Ba Đình,Hà Nội,1,2,,74.66666666666667
21286687,68.0,15.0,Sổ đỏ,2025-10-15,Nguyễn Khả Trạc - Phường Dịch Vọng Hậu,Cầu Giấy,Hà Nội,6,6,68.0,220.58823529411765
22703459,90.0,4.299,Sổ đỏ,2025-10-15,Tạ Quang Bửu - Phường Bách Khoa,Hai Bà Trưng,Hà Nội,2,3,,47.766666666666666
21286692,528.0,18.0,Sổ đỏ,2025-10-15,Nhật Chiêu - Phường Phú Thượng,Tây Hồ,Hà Nội,8,8,88.0,34.09090909090909
22703460,50.0,3.38,Sổ đỏ,2025-10-15,Nguyễn Siêu - Phường Hàng Buồm,Hoàn Kiếm,Hà Nội,1,2,,67.6
21328897,200.0,11.999,Sổ đỏ,2025-10-15,Trích Sài - Phường Thụy Khuê,Tây Hồ,Hà Nội,3,4,50.0,59.995
22703463,60.0,4.2,Sổ đỏ,2025-10-15,Trương Hán Siêu - Phường Trần Hưng Đạo,Hoàn Kiếm,Hà Nội,1,2,,70.0
21367717,320.0,28.0,Sổ đỏ,2025-10-15,Phùng Chí Kiên - Phường Nghĩa Đô,Cầu Giấy,Hà Nội,4,4,82.0,87.5
22703467,70.0,4.28,Sổ đỏ,2025-10-15,Huỳnh Thúc Kháng - Phường Láng Hạ,Đống Đa,Hà Nội,1,2,,61.142857142857146
21370078,150.0,19.0,Sổ đỏ,2025-10-15,Trung Hòa - Phường Trung Hòa,Cầu Giấy,Hà Nội,5,5,100.0,126.66666666666667
22703759,70.0,4.18,Sổ đỏ,2025-10-15,Định Công - Phường Định Công,Hoàng Mai,Hà Nội,2,2,,59.714285714285715
21565244,360.0,15.0,Sổ đỏ,2025-10-15,Duy Tân - Phường Dịch Vọng Hậu,Cầu Giấy,Hà Nội,6,6,60.0,41.666666666666664
22703770,50.0,3.65,Sổ đỏ,2025-10-15,Nam Trung Yên - Phường Yên Hòa,Cầu Giấy,Hà Nội,1,2,,73.0
21578368,180.0,9.0,Sổ đỏ,2025-10-15,Phan Kế Bính - Phường Cống Vị,Ba Đình,Hà Nội,4,6,45.0,50.0
22705350,80.0,6.5,Sổ đỏ,2025-10-15,Lê Thánh Tông - Phường Phan Chu Trinh,Hoàn Kiếm,Hà Nội,3,3,,81.25
21637983,200.0,25.0,Sổ đỏ,2025-10-15,Võ Chí Công - Phường Xuân La,Tây Hồ,Hà Nội,,,200.0,125.0
22705358,70.0,4.65,Sổ đỏ,2025-10-15,Quan Hoa - Phường Quan Hoa,Cầu Giấy,Hà Nội,2,2,,66.42857142857143
21690938,100.0,42.0,Sổ đỏ,2025-10-15,Trích Sài - Phường Bưởi,Tây Hồ,Hà Nội,,,100.0,420.0
22705689,25.0,4.45,Sổ đỏ,2025-10-15,Lê Duẩn - Phường Khâm Thiên,Đống Đa,Hà Nội,3,3,25.0,178.0
21697936,400.0,33.0,Sổ đỏ,2025-10-15,Phố Từ Hoa - Phường Quảng An,Tây Hồ,Hà Nội,5,5,176.0,82.5
22705529,80.0,4.29,Sổ đỏ,2025-10-15,Thành Công - Phường Thành Công,Ba Đình,Hà Nội,2,3,,53.625
21806969,368.0,14.6,Sổ đỏ,2025-10-15,Nguyễn Phong Sắc - Phường Nghĩa Tân,Cầu Giấy,Hà Nội,5,4,62.0,39.67391304347826
22705691,20.0,4.75,Sổ đỏ,2025-10-15,Tôn Đức Thắng - Phường Hàng Bột,Đống Đa,Hà Nội,3,3,20.0,237.5
21814149,372.0,13.999,Sổ đỏ,2025-10-15,Tôn Quang Phiệt - Phường Cổ Nhuế 1,Bắc Từ Liêm,Hà Nội,5,4,63.0,37.63172043010753
22703384,60.0,4.149,Sổ đỏ,2025-10-15,Kim Mã - Phường Kim Mã,Ba Đình,Hà Nội,1,2,,69.15
22514117,300.0,22.5,Sổ đỏ,2025-10-15,Xuân La - Phường Xuân La,Tây Hồ,Hà Nội,4,4,80.0,75.0
22703386,60.0,4.45,Sổ đỏ,2025-10-15,Hàng Than - Phường Nguyễn Trung Trực,Ba Đình,Hà Nội,1,2,,74.16666666666667
22514119,294.0,15.799,Sổ đỏ,2025-10-15,Đông Thắng - Phường Đông Ngạc,Bắc Từ Liêm,Hà Nội,3,3,97.0,53.73809523809524
22703387,70.0,3.45,Sổ đỏ,2025-10-15,Thành Công - Phường Thành Công,Ba Đình,Hà Nội,1,2,,49.285714285714285
22515326,72.0,15.999,Sổ đỏ,2025-10-15,Lạc Long Quân - Phường Xuân La,Tây Hồ,Hà Nội,,,72.0,222.20833333333334
22703389,75.0,6.289,Sổ đỏ,2025-10-15,Thành Công - Phường Thành Công,Ba Đình,Hà Nội,1,2,,83.85333333333334
22515330,61.0,9.5,Sổ đỏ,2025-10-15,Thụy Phương - Phường Thụy Phương,Bắc Từ Liêm,Hà Nội,,,61.0,155.7377049180328
22703392,50.0,3.45,Sổ đỏ,2025-10-15,Nguyễn Trường Tộ - Phường Nguyễn Trung Trực,Ba Đình,Hà Nội,1,2,,69.0
21547344,409.0,110.0,Sổ đỏ,2025-10-15,Võ Chí Công - Phường Xuân La,Tây Hồ,Hà Nội,,,409.0,268.9486552567237
22703398,60.0,3.65,Sổ đỏ,2025-10-15,Yên Ninh - Phường Quán Thánh,Ba Đình,Hà Nội,1,2,,60.833333333333336
21511956,420.0,18.0,Sổ đỏ,2025-10-15,Vạn Phúc - Phường Liễu Giai,Ba Đình,Hà Nội,5,5,70.0,42.857142857142854
22703499,60.0,4.1,Sổ đỏ,2025-10-15,Ngô Thì Nhậm - Phường Phố Huế,Hai Bà Trưng,Hà Nội,1,3,,68.33333333333333
21578557,180.0,8.0,Sổ đỏ,2025-10-15,Linh Lang - Phường Cống Vị,Ba Đình,Hà Nội,4,4,45.0,44.44444444444444
22703502,80.0,4.23,Sổ đỏ,2025-10-15,Nguyễn Phong Sắc - Phường Nghĩa Tân,Cầu Giấy,Hà Nội,1,2,,52.875
21593806,170.0,0.25,Sổ đỏ,2025-10-15,Vệ Hồ - Phường Xuân La,Tây Hồ,Hà Nội,1,1,170.0,1.4705882352941178
22703571,60.0,4.649,Sổ đỏ,2025-10-15,Tống Duy Tân - Phường Hàng Bông,Hoàn Kiếm,Hà Nội,1,2,,77.48333333333333
21684005,569.0,25.0,Sổ đỏ,2025-10-15,Âu Cơ - Phường Quảng An,Tây Hồ,Hà Nội,5,5,169.0,43.936731107205624
22703576,100.0,4.879,Sổ đỏ,2025-10-15,Trần Nhật Duật - Phường Hàng Buồm,Hoàn Kiếm,Hà Nội,2,3,,48.79
21712456,130.0,45.5,Sổ đỏ,2025-10-15,Lạc Long Quân - Phường Bưởi,Tây Hồ,Hà Nội,1,1,130.0,350.0
22706159,72.0,5.39,Sổ đỏ,2025-10-15,Nguyễn Trãi - Phường Văn Quán,Hà Đông,Hà Nội,2,2,,74.86111111111111
