ma_bds,dien_tich_su_dung_m2,gia(ty),phap_ly,ngay_dang,phuong_xa,quan_huyen,thanh_pho,nha_tam,phong_ngu,dien_tich_dat_m2,gia_per_m2
22694158,789.0,28.2,Sổ hồng,2025-07-02,Giáp Bát - Phường Giáp Bát,Hoàng Mai,Hà Nội,20,21,108.0,35.741444866920155
22694113,35.0,6.8,Sổ đỏ,2025-07-02,Bồ Đề - Phường Bồ Đề,Long Biên,Hà Nội,3,4,35.0,194.28571428571428
22690288,,16.5,Sổ đỏ,2025-07-01,Khuất Duy Tiến - Phường Thanh Xuân Bắc,Thanh Xuân,Hà Nội,3,3,66.0,
22690303,,8.2,Sổ đỏ,2025-07-01,Kim Giang - Phường Kim Giang,Thanh Xuân,Hà Nội,4,4,38.0,
22690312,,21.5,Sổ đỏ,2025-07-01,Phương Liệt - Phường Phương Liệt,Thanh Xuân,Hà Nội,6,6,66.0,
22690080,,16.8,Sổ đỏ,2025-07-01,Khuất Duy Tiến - Phường Thanh Xuân Bắc,Thanh Xuân,Hà Nội,5,6,45.0,
22692392,75.0,3.85,Sổ đỏ,2025-07-01,Huỳnh Thúc Kháng - Phường Láng Hạ,Đống Đa,Hà Nội,2,2,25.0,51.333333333333336
22693949,54.0,9.45,Sổ hồng,2025-07-01,Quang Tiến - Phường Đại Mỗ,Nam Từ Liêm,Hà Nội,,,54.0,175.0
22694002,25.0,7.0,Sổ đỏ,2025-07-01,Cự Lộc - Phường Thượng Đình,Thanh Xuân,Hà Nội,3,3,25.0,280.0
22693982,,11.5,Sổ đỏ,2025-07-01,Trần Phú - Phường Văn Quán,Hà Đông,Hà Nội,4,3,67.0,
22691824,,0.15,Không xác định,2025-06-30,Tỉnh Lộ 70,None,Lộ 70,,,80.0,
22693869,30.0,6.15,Sổ đỏ,2025-06-30,Ngõ Thịnh Hào 3 - Phường Thổ Quan,Đống Đa,Hà Nội,3,3,27.0,205.0
22693765,65.0,3.98,Sổ đỏ,2025-06-30,Nguyễn Khánh Toàn - Phường Quan Hoa,Cầu Giấy,Hà Nội,2,1,35.0,61.23076923076923
22693732,45.0,11.3,Sổ đỏ,2025-06-30,Trần Phú - Phường Văn Quán,Hà Đông,Hà Nội,10,10,45.0,251.11111111111111
22693652,33.0,5.6,Sổ đỏ,2025-06-29,Tây Mỗ - Phường Tây Mỗ,Nam Từ Liêm,Hà Nội,4,4,33.0,169.6969696969697
22685755,44.0,11.0,Sổ đỏ,2025-06-28,Minh Khai - Phường Minh Khai,Hai Bà Trưng,Hà Nội,4,4,44.0,250.0
22693498,43.0,11.0,Sổ đỏ,2025-06-28,Minh Khai - Phường Minh Khai,Hai Bà Trưng,Hà Nội,4,4,44.0,255.8139534883721
22693502,37.0,9.2,Sổ đỏ,2025-06-28,Kim Ngưu - Phường Thanh Lương,Hai Bà Trưng,Hà Nội,3,4,37.0,248.64864864864865
22693492,33.0,7.95,Sổ đỏ,2025-06-28,Dương Văn Bé - Phường Vĩnh Tuy,Hai Bà Trưng,Hà Nội,3,3,33.0,240.9090909090909
22693438,20.0,2.8,Hợp đồng mua bán,2025-06-28,Kim Mã - Phường Kim Mã,Ba Đình,Hà Nội,2,3,17.0,140.0
22693464,44.0,7.35,Sổ hồng,2025-06-28,Hữu Hưng - Phường Tây Mỗ,Nam Từ Liêm,Hà Nội,1,1,44.0,167.04545454545453
22693234,53.0,12.5,Sổ đỏ,2025-06-27,Đại La - Phường Trương Định,Hai Bà Trưng,Hà Nội,6,3,53.0,235.8490566037736
22693189,,12.96,Không xác định,2025-06-27,Tỉnh Lộ 70,None,Lộ 70,,,81.0,
22693361,,9.45,Sổ đỏ,2025-06-27,Khuyến Lương - Phường Trần Phú,Hoàng Mai,Hà Nội,1,1,80.0,
22693415,,5.5,Sổ đỏ,2025-06-27,Đại Đồng - Phường Vĩnh Hưng,Hoàng Mai,Hà Nội,5,3,50.0,
22693414,,7.05,Sổ đỏ,2025-06-27,Định Công Thượng - Phường Định Công,Hoàng Mai,Hà Nội,5,4,30.0,
22693417,,6.6,Sổ đỏ,2025-06-27,Giáp Bát - Phường Giáp Bát,Hoàng Mai,Hà Nội,4,3,30.0,
22692798,170.0,4.6,Sổ đỏ,2025-06-26,Dương Đình,None,Hà Nội,3,3,58.0,27.058823529411764
22692897,,2.0,Sổ đỏ,2025-06-26,Dương Quang,None,Hà Nội,,,56.0,
22692844,99.0,19.8,Sổ đỏ,2025-06-26,Lĩnh Nam - Phường Lĩnh Nam,Hoàng Mai,Hà Nội,2,2,99.0,200.0
22692516,175.0,6.8,Sổ đỏ,2025-06-25,Bồ Đề - Phường Bồ Đề,Long Biên,Hà Nội,3,4,35.0,38.857142857142854
22692492,175.0,6.8,Sổ đỏ,2025-06-24,Bồ Đề - Phường Bồ Đề,Long Biên,Hà Nội,3,4,35.0,38.857142857142854
22692400,,5.6,Sổ đỏ,2025-06-24,Ngọc Hồi,None,Hà Nội,4,4,38.0,
22692254,30.0,12.7,Sổ đỏ,2025-06-23,Thái Hà - Phường Láng Hạ,Đống Đa,Hà Nội,6,6,30.0,423.3333333333333
22692331,1281.0,12.999,Sổ đỏ,2025-06-23,Quốc Lộ 6,None,Hà Nội,,,1281.0,10.147540983606557
22660650,97.0,8.092,Giấy tờ hợp lệ,2025-06-22,Vành Đai 3 - Phường Định Công,Hoàng Mai,Hà Nội,,,97.0,83.42268041237115
22658916,97.0,7.953,Giấy tờ hợp lệ,2025-06-22,Giáp Bát - Phường Đại Kim,Hoàng Mai,Hà Nội,,,97.0,81.98969072164948
22567512,75.0,0.058,Giấy tờ hợp lệ,2025-06-22,Giáp Bát - Phường Đại Kim,Hoàng Mai,Hà Nội,,,77.0,0.7733333333333333
22521546,80.0,4.099,Giấy tờ hợp lệ,2025-06-22,Định Công - Phường Định Công,Hoàng Mai,Hà Nội,,,80.0,51.2375
22264659,80.0,0.05,Giấy tờ hợp lệ,2025-06-22,Giáp Bát - Phường Đại Kim,Hoàng Mai,Hà Nội,,,80.0,0.625
